tx_id,user_id,merchant_id,amount,hour,day,label
T01,U1,M1,100.50,14,2,0
T02,U2,M1,75.00,10,3,0
T03,U3,M1,200.00,11,1,0
T04,U1,M2,150.00,15,4,0
T05,U4,M3,980.00,3,0,1
T06,U4,M4,850.00,2,6,1
T07,U5,M3,920.00,4,1,1
T08,U5,M5,1100.00,1,6,1
T09,U2,M2,50.00,9,2,0
T10,U3,M6,300.00,12,3,0
T11,U6,M7,45.00,16,4,0
T12,U6,M7,55.00,17,4,0
T13,U1,M8,120.00,13,5,0
T14,U7,M3,750.00,3,2,1
T15,U8,M9,200.00,14,3,0
T16,U9,M10,80.00,11,1,0
T17,U4,M11,500.00,23,6,1
T18,U10,M12,300.00,10,2,0
T19,U11,M3,1050.00,2,5,1
T20,U12,M13,150.00,14,3,0
T21,U13,M14,90.00,16,2,0
T22,U2,M8,60.00,11,1,0
T23,U5,M4,890.00,3,0,1
T24,U14,M15,175.00,13,4,0
T25,U3,M9,220.00,10,2,0
